,متوسط,متوسط,متوسط,إبتدائي,إبتدائي,إبتدائي,ثانوي,ثانوي,ثانوي, ,إبتدائي,إبتدائي,إبتدائي,متوسط,متوسط,متوسط,ثانوي,ثانوي,ثانوي, 
الفترة,ذكور  (1),إناث  (1),المجموع  (1),ذكور  (1),إناث  (1),المجموع  (1),ذكور  (1),إناث  (1),المجموع  (1),إجمالي عدد الطلبة  (1),ذكور  (2),إناث  (2),المجموع  (2),ذكور  (2),إناث  (2),المجموع  (2),ذكور  (2),إناث  (2),المجموع  (2),إجمالي عدد المدارس  (2)
-,55890,5305,61195,277364,119789,397153,14058,1487,15545,473893,1446,378,1824,333,22,355,110,6,116,2295
-,60926,8645,69571,295520,132277,427797,18178,1856,20034,517402,1518,390,1908,371,27,398,118,6,124,2430
-,70802,13546,84348,321043,153964,475007,20440,2979,23419,582774,1666,488,2154,418,69,487,127,15,142,2783
-,78924,20518,99442,346928,174194,521122,23242,4009,27251,647815,1880,587,2467,465,95,560,135,18,153,3180
-,86247,29478,115725,380286,197448,577734,26774,6412,33186,726645,1990,721,2711,490,98,588,141,19,160,3459
-,98739,38544,137283,420194,223304,643498,31333,10206,41539,822320,2147,881,3028,532,117,649,156,26,182,3859
-,107052,47817,154869,439502,246606,686108,34970,13856,48826,889803,2489,1008,3497,584,136,720,177,35,212,4429
-,122428,55493,177921,459638,266425,726063,42415,17518,59933,963917,2731,1147,3878,660,164,824,209,48,257,4959
-,132991,64201,197192,474639,278338,752977,49978,20384,70362,1020531,3174,1270,4444,792,198,990,273,58,331,5765
-,149305,71037,220342,503934,298876,802810,59151,24565,83716,1106868,3512,1471,4983,937,273,1210,322,85,407,6600
-,165107,80087,245194,536891,325369,862260,64627,28957,93584,1201038,3658,1655,5313,1027,350,1377,343,113,456,7146
-,168567,88157,256724,570397,360039,930436,65873,34150,100023,1287183,3867,1877,5744,1109,430,1539,375,138,513,7796
